N,error
2,0.09439510239319526264
4,0.00455975498442073857
8,0.00026916994838765973
16,0.00001659104793549915
32,0.00000103336941315035
64,0.00000006453000178652
128,0.00000000403225763890
256,0.00000000025200197484
512,0.00000000001575006792
1024,0.00000000000098276942
2048,0.00000000000006261658
4096,0.00000000000000266454
8192,0.00000000000000088818
16384,0.00000000000000666134
32768,0.00000000000000377476
65536,0.00000000000000266454
131072,0.00000000000001731948
262144,0.00000000000000488498
524288,0.00000000000000000001
1048576,0.00000000000002575717
2097152,0.00000000000003064216
4194304,0.00000000000001065814
8388608,0.00000000000009459100
16777216,0.00000000000007593925
33554432,0.00000000000013322676
67108864,0.00000000000015987212
134217728,0.00000000000045008441
268435456,0.00000000000110511600
536870912,0.00000000000081623597
1073741824,0.00000000000037303494
